"time","geo_value","geo_type","covid","Season","flu","rsv"
"2020-07-18","East","OH Region",9,"2019-2020",NA,NA
"2020-07-18","North East","OH Region",0,"2019-2020",NA,NA
"2020-07-18","North West","OH Region",3,"2019-2020",NA,NA
"2020-07-18","Ontario","Province",114,"2019-2020",NA,NA
"2020-07-18","Toronto","OH Region",63,"2019-2020",NA,NA
"2020-07-18","West","OH Region",19,"2019-2020",NA,NA
"2020-07-25","Central","OH Region",27,"2019-2020",NA,NA
"2020-07-25","East","OH Region",10,"2019-2020",NA,NA
"2020-07-25","North East","OH Region",2,"2019-2020",NA,NA
"2020-07-25","North West","OH Region",1,"2019-2020",NA,NA
"2020-07-25","Ontario","Province",118,"2019-2020",NA,NA
"2020-07-25","Toronto","OH Region",61,"2019-2020",NA,NA
"2020-07-25","West","OH Region",24,"2019-2020",NA,NA
"2020-08-01","Central","OH Region",20,"2019-2020",NA,NA
"2020-08-01","East","OH Region",12,"2019-2020",NA,NA
"2020-08-01","North East","OH Region",2,"2019-2020",NA,NA
"2020-08-01","North West","OH Region",1,"2019-2020",NA,NA
"2020-08-01","Ontario","Province",84,"2019-2020",NA,NA
"2020-08-01","Toronto","OH Region",31,"2019-2020",NA,NA
"2020-08-01","West","OH Region",23,"2019-2020",NA,NA
"2020-08-08","Central","OH Region",20,"2019-2020",NA,NA
"2020-08-08","East","OH Region",11,"2019-2020",NA,NA
"2020-08-08","North East","OH Region",2,"2019-2020",NA,NA
"2020-08-08","North West","OH Region",0,"2019-2020",NA,NA
"2020-08-08","Ontario","Province",64,"2019-2020",NA,NA
"2020-08-08","Toronto","OH Region",17,"2019-2020",NA,NA
"2020-08-08","West","OH Region",21,"2019-2020",NA,NA
"2020-08-15","Central","OH Region",17,"2019-2020",NA,NA
"2020-08-15","East","OH Region",10,"2019-2020",NA,NA
"2020-08-15","North East","OH Region",1,"2019-2020",NA,NA
"2020-08-15","North West","OH Region",0,"2019-2020",NA,NA
"2020-08-15","Ontario","Province",43,"2019-2020",NA,NA
"2020-08-15","Toronto","OH Region",7,"2019-2020",NA,NA
"2020-08-15","West","OH Region",17,"2019-2020",NA,NA
"2020-08-22","Central","OH Region",15,"2019-2020",NA,NA
"2020-08-22","East","OH Region",8,"2019-2020",NA,NA
"2020-08-22","North East","OH Region",1,"2019-2020",NA,NA
"2020-08-22","North West","OH Region",0,"2019-2020",NA,NA
"2020-08-22","Ontario","Province",40,"2019-2020",NA,NA
"2020-08-22","Toronto","OH Region",6,"2019-2020",NA,NA
"2020-08-22","West","OH Region",14,"2019-2020",NA,NA
"2020-08-29","Central","OH Region",21,"2020-2021",NA,NA
