=== COMPREHENSIVE SIGNIFICANT TERMS ANALYSIS ===
Total files analyzed: 10 (5 ILI + 5 NREVSS)
Total unique terms found: 135

=== COMBINED ANALYSIS (ILI + NREVSS) ===
Total Bonferroni significant terms: 26

Term	Count/10	Mean_p_value	Median_p_value	Files
stomach virus symptoms	3/5	0.008086	0.009367	comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
walking pneumonia	2/5	0.021344	0.021344	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
fever reducer	2/5	0.006990	0.006990	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt
(TOPIC)06n3pj	2/5	0.010728	0.010728	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt
fever with flu	2/5	0.032935	0.032935	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
stomach flu diarrhea	2/5	0.036392	0.036392	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt
fever flu symptoms	2/5	0.034837	0.034837	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt
sinus medicine	2/5	0.027551	0.027551	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt
(TOPIC)08pr_0	2/5	0.037537	0.037537	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
tylenol extra strength	2/5	0.025061	0.025061	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt
the flu virus	2/5	0.023116	0.023116	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
thermoscan	2/5	0.023210	0.023210	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt
(TOPIC)0b2cnj	2/5	0.011827	0.011827	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt
the flue	2/5	0.014028	0.014028	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt
flu medicine	2/5	0.036394	0.036394	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt
cold symptoms	2/5	0.014066	0.014066	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt
current flu symptoms + flu type a treatment + how long am i contagious with the flu + type a influenza symptoms	2/5	0.026466	0.026466	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt
pneumonia symptoms	2/5	0.033950	0.033950	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
how long does flu last	2/5	0.008211	0.008211	comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
(TOPIC)03t8j0	2/5	0.009792	0.009792	comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt
chest cold	2/5	0.040948	0.040948	comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
symptoms of bronchitis	2/5	0.027347	0.027347	comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
avian flu california + avian flu symptoms in human_44b9fefd	2/5	0.017475	0.017475	comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
expectorant	2/5	0.013279	0.013279	comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
period fever	2/5	0.015624	0.015624	comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
influenza a vs b symptoms + medicine for flu and cough + stomach flu vs stomach bug	2/5	0.019181	0.019181	comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
bronchitis	1/5	0.019987	0.019987	comprehensive_granger_individual_significant_terms_ili_lag3.txt
cough and sore throat	1/5	0.025603	0.025603	comprehensive_granger_individual_significant_terms_ili_lag3.txt
oscillococcinum	1/5	0.034461	0.034461	comprehensive_granger_individual_significant_terms_ili_lag3.txt
fever symptoms	1/5	0.045507	0.045507	comprehensive_granger_individual_significant_terms_ili_lag3.txt
(TOPIC)0b76bty	1/5	0.000541	0.000541	comprehensive_granger_individual_significant_terms_ili_lag2.txt
best cold medicine	1/5	0.004089	0.004089	comprehensive_granger_individual_significant_terms_ili_lag2.txt
symptoms of stomach flu	1/5	0.004743	0.004743	comprehensive_granger_individual_significant_terms_ili_lag2.txt
(TOPIC)0n073	1/5	0.008846	0.008846	comprehensive_granger_individual_significant_terms_ili_lag2.txt
food poisoning	1/5	0.017495	0.017495	comprehensive_granger_individual_significant_terms_ili_lag2.txt
the flu symptoms	1/5	0.033149	0.033149	comprehensive_granger_individual_significant_terms_ili_lag2.txt
cough and fever	1/5	0.000000	0.000000	comprehensive_granger_individual_significant_terms_ili_lag1.txt
dry cough	1/5	0.000020	0.000020	comprehensive_granger_individual_significant_terms_ili_lag1.txt
stomach flu	1/5	0.000048	0.000048	comprehensive_granger_individual_significant_terms_ili_lag1.txt
(TOPIC)028tns	1/5	0.004188	0.004188	comprehensive_granger_individual_significant_terms_ili_lag1.txt
cure flu	1/5	0.004449	0.004449	comprehensive_granger_individual_significant_terms_ili_lag1.txt
body temperature	1/5	0.004786	0.004786	comprehensive_granger_individual_significant_terms_ili_lag1.txt
(TOPIC)0683jy	1/5	0.004954	0.004954	comprehensive_granger_individual_significant_terms_ili_lag1.txt
reduce fever	1/5	0.007543	0.007543	comprehensive_granger_individual_significant_terms_ili_lag1.txt
sinus	1/5	0.009443	0.009443	comprehensive_granger_individual_significant_terms_ili_lag1.txt
advil cold and flu + allergies vs cold + best cold_52555453	1/5	0.011380	0.011380	comprehensive_granger_individual_significant_terms_ili_lag1.txt
ear thermometer	1/5	0.013198	0.013198	comprehensive_granger_individual_significant_terms_ili_lag1.txt
best cough medicine	1/5	0.014164	0.014164	comprehensive_granger_individual_significant_terms_ili_lag1.txt
epidemic	1/5	0.014687	0.014687	comprehensive_granger_individual_significant_terms_ili_lag1.txt
taking temperature	1/5	0.015597	0.015597	comprehensive_granger_individual_significant_terms_ili_lag1.txt
food poisoning symptoms	1/5	0.018730	0.018730	comprehensive_granger_individual_significant_terms_ili_lag1.txt
tussin	1/5	0.024490	0.024490	comprehensive_granger_individual_significant_terms_ili_lag1.txt
best flu medicine for adults + children's tylenol _de4e67e7	1/5	0.026949	0.026949	comprehensive_granger_individual_significant_terms_ili_lag1.txt
best over the counter flu medicine + cold and flu _53c4abfe	1/5	0.028231	0.028231	comprehensive_granger_individual_significant_terms_ili_lag1.txt
flu stomach pain	1/5	0.037667	0.037667	comprehensive_granger_individual_significant_terms_ili_lag1.txt
the flu	1/5	0.040612	0.040612	comprehensive_granger_individual_significant_terms_ili_lag1.txt
i have the flu	1/5	0.043007	0.043007	comprehensive_granger_individual_significant_terms_ili_lag1.txt
symptoms of cold	1/5	0.003622	0.003622	comprehensive_granger_individual_significant_terms_ili_lag5.txt
(TOPIC)09gh4jl + best flu medicine + best medicine_e404534b	1/5	0.008029	0.008029	comprehensive_granger_individual_significant_terms_ili_lag5.txt
(TOPIC)0g9pc	1/5	0.015956	0.015956	comprehensive_granger_individual_significant_terms_ili_lag5.txt
dangerous fever	1/5	0.016260	0.016260	comprehensive_granger_individual_significant_terms_ili_lag5.txt
best over the counter flu medicine + cold and flu _4d7536f3	1/5	0.024701	0.024701	comprehensive_granger_individual_significant_terms_ili_lag5.txt
fever	1/5	0.025877	0.025877	comprehensive_granger_individual_significant_terms_ili_lag5.txt
avian flu	1/5	0.026491	0.026491	comprehensive_granger_individual_significant_terms_ili_lag5.txt
pneumonia	1/5	0.041278	0.041278	comprehensive_granger_individual_significant_terms_ili_lag5.txt
normal body	1/5	0.041848	0.041848	comprehensive_granger_individual_significant_terms_ili_lag5.txt
(TOPIC)01c751	1/5	0.041862	0.041862	comprehensive_granger_individual_significant_terms_ili_lag5.txt
flu virus	1/5	0.017836	0.017836	comprehensive_granger_individual_significant_terms_ili_lag4.txt
period flu	1/5	0.022975	0.022975	comprehensive_granger_individual_significant_terms_ili_lag4.txt
(TOPIC)0416v7	1/5	0.039327	0.039327	comprehensive_granger_individual_significant_terms_ili_lag4.txt

================================================================================

=== NREVSS-SPECIFIC ANALYSIS (5 files) ===
NREVSS Bonferroni significant terms: 12

Term	Count/5	Mean_p_value	Median_p_value	NREVSS_Files
(TOPIC)028tns	3/5	0.000061	0.000004	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
(TOPIC)09gh4jl + best flu medicine + best medicine_c82ee129	2/5	0.000002	0.000002	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
the flu virus	2/5	0.000218	0.000218	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
h1n1	2/5	0.000015	0.000015	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
incubation period	1/5	0.000293	0.000293	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag1.txt
tessalon	1/5	0.000040	0.000040	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
flu like symptoms	1/5	0.000246	0.000246	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
flu cough	1/5	0.000000	0.000000	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
the flu	1/5	0.000079	0.000079	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
(TOPIC)0g9pc	1/5	0.000260	0.000260	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
signs of flu	1/5	0.000320	0.000320	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
(TOPIC)06p_bp	1/5	0.000313	0.000313	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag2.txt

NREVSS FDR significant terms: 39

Term	Count/5	Mean_p_value	Median_p_value	NREVSS_Files
(TOPIC)09gh4jl + best flu medicine + best medicine_c82ee129	4/5	0.000409	0.000210	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
the flu virus	4/5	0.000320	0.000337	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
tessalon	3/5	0.000760	0.001031	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
flu like symptoms	3/5	0.002077	0.002829	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
h1n1	3/5	0.000128	0.000030	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
(TOPIC)028tns	3/5	0.000061	0.000004	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
the flu	3/5	0.001114	0.000593	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
incubation period	2/5	0.000985	0.000985	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag1.txt
cold flu symptoms	2/5	0.003412	0.003412	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
symptoms of the flu	2/5	0.002601	0.002601	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
avian flu news + avian flu outbreak + bird flu out_804ade0a	2/5	0.000947	0.000947	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
the flue	2/5	0.002018	0.002018	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
epidemic	2/5	0.002521	0.002521	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt
(TOPIC)0g9pc	2/5	0.000526	0.000526	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
symptoms of pneumonia	1/5	0.002021	0.002021	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt
stomach virus	1/5	0.004325	0.004325	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
flu incubation	1/5	0.001134	0.001134	granger_significant_terms_nrevss_lag1.txt
how long contagious	1/5	0.001790	0.001790	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
fever reducer	1/5	0.003405	0.003405	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
fever with flu	1/5	0.001866	0.001866	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
cough and sore throat	1/5	0.000919	0.000919	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
stomach flu diarrhea	1/5	0.002539	0.002539	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
robitussin	1/5	0.004744	0.004744	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
fever flu symptoms	1/5	0.000602	0.000602	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt
sinus medicine	1/5	0.004128	0.004128	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
what is the flu	1/5	0.000993	0.000993	granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
flu children	1/5	0.000469	0.000469	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
flu cough	1/5	0.000000	0.000000	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
(TOPIC)03t8j0	1/5	0.001008	0.001008	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag1.txt
(TOPIC)09gh4jl + best flu medicine + best medicine_e404534b	1/5	0.003145	0.003145	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag3.txt
best over the counter flu medicine + cold and flu _4d7536f3	1/5	0.003077	0.003077	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
influenza a vs b symptoms + medicine for flu and cough + stomach flu vs stomach bug	1/5	0.000660	0.000660	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
congestion medicine	1/5	0.002330	0.002330	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
alka seltzer cold and cough + cold vs sinus infect_75a01e90	1/5	0.003988	0.003988	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
avian flu 2024 + avian flu in milk + bird flu 2024_7be51fa5	1/5	0.004087	0.004087	granger_significant_terms_nrevss_lag5.txt
tussionex	1/5	0.002249	0.002249	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag2.txt
signs of flu	1/5	0.000320	0.000320	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
(TOPIC)06p_bp	1/5	0.000313	0.000313	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag2.txt
normal body temperature	1/5	0.004664	0.004664	granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt

NREVSS Uncorrected significant terms: 104

Term	Count/5	Mean_p_value	Median_p_value	NREVSS_Files
(TOPIC)09gh4jl + best flu medicine + best medicine_c82ee129	5/5	0.003189	0.000416	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
the flu virus	5/5	0.003270	0.000366	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
h1n1	5/5	0.009152	0.000354	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
flu texas	4/5	0.027930	0.029685	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
cold flu symptoms	4/5	0.019418	0.015992	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
how long does the flu last	4/5	0.020659	0.017062	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag2.txt
fever reducer	4/5	0.025418	0.029313	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
flu like symptoms	4/5	0.002564	0.002992	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
covid + covid deaths + covid incubation period + covid vs flu vs cold + incubation period for covid + medicine for covid + spanish flu vs covid	4/5	0.016956	0.016917	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
(TOPIC)028tns	4/5	0.002188	0.000091	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
epidemic	4/5	0.005554	0.005652	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt
the flu	4/5	0.006633	0.001631	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
what is a fever	4/5	0.018447	0.011424	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
symptoms of pneumonia	3/5	0.012514	0.005881	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt
stomach virus	3/5	0.012080	0.010696	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
how long contagious	3/5	0.025337	0.036872	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
tessalon	3/5	0.000760	0.001031	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
symptoms of the flu	3/5	0.006294	0.002823	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
fever with flu	3/5	0.017436	0.006608	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
sinus medicine	3/5	0.016101	0.021618	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
flu children	3/5	0.014841	0.016966	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
avian flu news + avian flu outbreak + bird flu out_804ade0a	3/5	0.003240	0.001370	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
flu cough	3/5	0.018364	0.015145	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
the flue	3/5	0.007162	0.002150	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
cold symptoms	3/5	0.026946	0.017958	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
pneumonia symptoms	3/5	0.020165	0.020351	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
stomach flu	3/5	0.033822	0.039211	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag2.txt
avian flu	3/5	0.015625	0.009200	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
influenza a vs b symptoms + medicine for flu and cough + stomach flu vs stomach bug	3/5	0.012085	0.017261	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
(TOPIC)01c751	3/5	0.023177	0.015332	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
congestion medicine	3/5	0.012228	0.005232	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
avian flu humans + avian flu in chickens + avian f_de498a91	3/5	0.021416	0.008064	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
tussionex	3/5	0.024144	0.025915	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag2.txt
treat flu	3/5	0.032775	0.028980	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
low body	2/5	0.034910	0.034910	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
incubation period	2/5	0.000985	0.000985	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag1.txt
cough and sore throat	2/5	0.018386	0.018386	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
stomach flu diarrhea	2/5	0.010451	0.010451	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
robitussin	2/5	0.026274	0.026274	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
fever flu symptoms	2/5	0.008390	0.008390	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt
what is the flu	2/5	0.024969	0.024969	granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
flu medicine	2/5	0.031144	0.031144	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag3.txt
dry cough	2/5	0.031100	0.031100	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
stomach virus symptoms	2/5	0.014257	0.014257	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
(TOPIC)03t8j0	2/5	0.015394	0.015394	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag1.txt
best cough medicine	2/5	0.022782	0.022782	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
flu stomach pain	2/5	0.033651	0.033651	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag1.txt
chest cold	2/5	0.029991	0.029991	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag2.txt
i have the flu	2/5	0.011102	0.011102	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag2.txt
symptoms of cold	2/5	0.029998	0.029998	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag2.txt
(TOPIC)09gh4jl + best flu medicine + best medicine_e404534b	2/5	0.015474	0.015474	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag3.txt
period fever	2/5	0.032895	0.032895	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag2.txt
(TOPIC)0g9pc	2/5	0.000526	0.000526	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
best over the counter flu medicine + cold and flu _4d7536f3	2/5	0.025831	0.025831	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
alka seltzer cold and cough + cold vs sinus infect_75a01e90	2/5	0.019869	0.019869	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
influenza symptoms	2/5	0.018641	0.018641	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
