"time_value","geo_type","geo_value","rsv_pct_positive","flu_pct_positive","sarscov2_pct_positive","Season"
"2021-04-24","province","ab",0,0,NA,"2020-2021"
"2021-04-24","province","pe",0,0,NA,"2020-2021"
"2021-04-24","province","nb",0,0,NA,"2020-2021"
"2021-04-24","territory","nu",0,0,NA,"2020-2021"
"2021-04-24","territory","yk",0,0,NA,"2020-2021"
"2021-04-24","province","sk",0,0,NA,"2020-2021"
"2021-04-24","territory","nt",0,0,NA,"2020-2021"
"2021-04-17","province","ns",0,0,NA,"2020-2021"
"2021-04-17","province","nl",0,0,NA,"2020-2021"
"2021-04-17","province","nb",0,0,NA,"2020-2021"
"2021-04-17","province","mb",0,0,NA,"2020-2021"
"2021-04-17","province","ab",0,0,NA,"2020-2021"
"2021-04-17","territory","yk",0,0,NA,"2020-2021"
"2021-04-17","province","sk",0,0,NA,"2020-2021"
"2021-04-17","territory","nt",0,0,NA,"2020-2021"
"2021-04-17","territory","nu",0,0,NA,"2020-2021"
"2021-04-17","province","pe",0.46,0,NA,"2020-2021"
"2021-04-10","province","ab",0,0,NA,"2020-2021"
"2021-04-10","province","pe",0,0,NA,"2020-2021"
"2021-04-10","province","sk",0,0,NA,"2020-2021"
"2021-04-10","province","mb",0,0.14,NA,"2020-2021"
"2021-04-10","province","nb",0,0,NA,"2020-2021"
"2021-04-10","province","nl",0,0,NA,"2020-2021"
"2021-04-10","province","ns",0,0,NA,"2020-2021"
"2021-04-10","territory","yk",0,0,NA,"2020-2021"
"2021-04-10","territory","nu",0,0,NA,"2020-2021"
"2021-04-10","territory","nt",0,0,NA,"2020-2021"
"2021-04-03","province","pe",0,0,NA,"2020-2021"
"2021-04-03","province","nl",0,0,NA,"2020-2021"
"2021-04-03","province","ns",0,0,NA,"2020-2021"
"2021-04-03","territory","yk",0,0,NA,"2020-2021"
"2021-04-03","province","sk",0,0,NA,"2020-2021"
"2021-04-03","province","ab",0,0,NA,"2020-2021"
"2021-04-03","province","nb",0,0,NA,"2020-2021"
"2021-04-03","territory","nt",0,0,NA,"2020-2021"
"2021-04-03","territory","nu",0,0,NA,"2020-2021"
"2021-04-03","province","mb",0,0,NA,"2020-2021"
"2021-03-27","province","pe",0,0,NA,"2020-2021"
"2021-03-27","province","sk",0.07,0,NA,"2020-2021"
"2021-03-27","province","nb",0,0,NA,"2020-2021"
"2021-03-27","province","nl",0,0,NA,"2020-2021"
"2021-03-27","province","ab",0,0,NA,"2020-2021"
"2021-03-27","province","mb",0,0,NA,"2020-2021"
"2021-03-27","province","ns",0,0,NA,"2020-2021"
"2021-03-27","territory","yk",0,0,NA,"2020-2021"
"2021-03-27","territory","nt",0,0,NA,"2020-2021"
"2021-03-27","territory","nu",0,0,NA,"2020-2021"
"2021-03-20","territory","nt",0,0,NA,"2020-2021"
"2021-03-20","territory","nu",0,0,NA,"2020-2021"
"2021-03-20","territory","yk",0,0,NA,"2020-2021"
"2021-03-20","province","sk",0,0,NA,"2020-2021"
"2021-03-20","province","pe",0,0,NA,"2020-2021"
"2021-03-20","province","ab",0,0,NA,"2020-2021"
"2021-03-20","province","nl",0,0,NA,"2020-2021"
"2021-03-20","province","ns",0,0,NA,"2020-2021"
"2021-03-20","province","nb",0,0,NA,"2020-2021"
"2021-03-20","province","mb",0,0,NA,"2020-2021"
"2021-03-13","province","ab",0,0,NA,"2020-2021"
"2021-03-13","territory","yk",0,0,NA,"2020-2021"
"2021-03-13","territory","nu",0,0,NA,"2020-2021"
"2021-03-13","territory","nt",0,0,NA,"2020-2021"
"2021-03-13","province","pe",0,0,NA,"2020-2021"
"2021-03-13","province","nb",0,0,NA,"2020-2021"
"2021-03-13","province","ns",0,0,NA,"2020-2021"
"2021-03-13","province","nl",0,0,NA,"2020-2021"
"2021-03-13","province","mb",0,0,NA,"2020-2021"
"2021-03-13","province","sk",0,0,NA,"2020-2021"
"2021-03-06","province","pe",0,0,NA,"2020-2021"
"2021-03-06","province","sk",0,0,NA,"2020-2021"
"2021-03-06","province","ns",0,0,NA,"2020-2021"
"2021-03-06","province","nl",0,0,NA,"2020-2021"
"2021-03-06","province","nb",0,0,NA,"2020-2021"
"2021-03-06","province","mb",0,0,NA,"2020-2021"
"2021-03-06","province","ab",0,0,NA,"2020-2021"
"2021-03-06","territory","nt",0,0,NA,"2020-2021"
"2021-03-06","territory","yk",0,0,NA,"2020-2021"
"2021-03-06","territory","nu",0,0,NA,"2020-2021"
"2021-02-27","territory","nt",0,0,NA,"2020-2021"
"2021-02-27","territory","nu",0,0,NA,"2020-2021"
"2021-02-27","territory","yk",0,0,NA,"2020-2021"
"2021-02-27","province","mb",0,0,NA,"2020-2021"
"2021-02-27","province","nb",0,0,NA,"2020-2021"
"2021-02-27","province","nl",0,0,NA,"2020-2021"
"2021-02-27","province","ns",0,0,NA,"2020-2021"
"2021-02-27","province","pe",0,0,NA,"2020-2021"
"2021-02-27","province","ab",0,0,NA,"2020-2021"
"2021-02-27","province","sk",0,0,NA,"2020-2021"
"2021-02-20","province","ns",0,0,NA,"2020-2021"
